t [s];v [km/h]
0;0
5.393743258;20
17.21974326;20
24.1641877;0
44.1641877;0
54.98669852;30
68.37869852;30
78.79536519;0
98.79536519;0
116.7165121;40
120.5685121;40
134.457401;0
154.457401;0
