t [s];v [km/h]
0;0
10.82251082;30
24.21451082;30
34.63117749;0
54.63117749;0
78.99764922;50
101.2744492;50
118.6355603;0
138.6355603;0
174.8674444;60
185.4514444;60
206.2847777;0
216.2847777;0
