month,num_days,temperature_C,insolation_W_m2
1,31,1.0178763440860217,10.626344086021504
2,28,1.8754464285714285,11.66220238095238
3,31,4.662903225806451,44.61424731182795
4,30,9.171111111111113,103.95000000000002
5,31,14.141263440860216,113.9744623655914
6,30,16.693194444444444,143.44305555555556
7,31,19.027553763440856,96.06854838709675
8,31,18.590860215053763,94.77419354838713
9,30,14.258750000000001,59.865277777777784
10,31,9.507123655913976,36.36424731182797
11,30,4.106388888888889,7.329166666666668
12,31,0.9211021505376346,4.102150537634408
